block ,bed ,bed-row ,bed-col ,pop ,mf ,rep ,height.cm ,long.leaf.cm ,herbiv.y.n ,survey-notes 
C ,B ,32,D ,YO11 ,5,11,- ,,,
C ,B ,33,C ,YO7 ,6,1,,,,
C ,B ,33,D ,YO4 ,1,1,1.3,,Y,bare stem 
C ,B ,34,C ,YO8 ,5,5,,,,
C ,B ,34,D ,SC ,5,16,,,,
C ,B ,35,C ,CP2 ,1,3,,,,
C ,B ,35,D ,DPR ,6,4,,,,
C ,B ,36,C ,YO8 ,1,1,,,,
C ,B ,36,D ,TM2 ,1,4,26.7,2.1,Y,
C ,B ,37,C ,LVTR1 ,4,1,,,,
C ,B ,37,D ,WL2 ,3,11,,,,
C ,B ,38,C ,LVTR1 ,7,3,,,,
C ,B ,38,D ,LVTR1 ,8,6,,,,
C ,B ,39,C ,CP2 ,2,3,,,,
C ,B ,39,D ,YO4 ,2,6,,,,
C ,B ,40,C ,CC ,3,5,,,,
C ,B ,40,D ,BH ,3,5,,,,
C ,B ,41,C ,YO7 ,7,1,1.9,0.7,Y ,
C ,B ,41,D ,IH ,2,5,,,,
C ,B ,42,C ,LV1 ,3,4,,,,
C ,B ,42,D ,YO8 ,3,1,,,,
C ,B ,43,C ,YO11 ,6,11,,,,
C ,B ,43,D ,TM2 ,7,10,36.5,2.4,Y ,
C ,B ,44,C ,SQ3 ,4,11,,,,
C ,B ,44,D ,IH ,7,5,,,,
C ,B ,45,C ,WL2 ,1,11,5.8,1.6,Y ,
C ,B ,45,D ,CP3 ,1,10,,,,
C ,B ,46,C ,SC ,6,5,11.4,4.7,Y ,top eaten 
C ,B ,46,D ,BH ,1,5,,,,
C ,B ,47,C ,YO7 ,4,6,4.2,2,Y ,
C ,B ,47,D ,BH ,7,5,11.3,5.8,Y,
C ,B ,48,C ,LVTR1 ,5,13,,,,
C ,B ,48,D ,IH ,1,5,9.2,3,Y,
C ,B ,49,C ,YO7 ,5,17,2,0.6,Y,
C ,B ,49,D ,YO7 ,7,19,,,,
C ,B ,50,C ,SQ2 ,6,11,,,,
C ,B ,50,D ,YO7 ,1,8,,,,
C ,B ,51,C ,CP3 ,3,11,,,,
C ,B ,51,D ,LV1 ,4,4,,,,
C ,B ,52,C ,YO4 ,4,9,,,,
C ,B ,52,D ,SQ2 ,13,13,,,,
C ,B ,53,C ,WL1* ,buffer ,buffer ,,,,
C ,B ,53,D ,WL1* ,buffer ,buffer ,,,,
C ,B ,54,C ,NA ,NA ,NA ,,,,
C ,B ,54,D ,NA ,NA ,NA ,,,,
B ,B ,55,C ,WL1* ,buffer ,buffer ,,,,
B ,B ,55,D ,WL1* ,buffer ,buffer ,,,,
B ,B ,56,C ,TM2 ,1,3,22.2,5.5,Y,
B ,B ,56,D ,SQ1 ,2,1,2.4,,Y,bare stem 
B ,B ,57,C ,LVTR1 ,8,19,,,,
B ,B ,57,D ,BH ,2,4,8.3,6.3,Y,
B ,B ,58,C ,YO7 ,3,4,,,,
B ,B ,58,D ,WL2 ,6,10,,,,
B ,B ,59,C ,IH ,5,4,,,,
B ,B ,59,D ,SC ,2,21,,,,
B ,B ,60,C ,WL1* ,,bufferbuffer ,,,,
B ,B ,60,D ,BH* ,buffer ,buffer ,,,,
D ,C ,1,A ,NA ,NA ,NA ,,,,
D ,C ,1,B ,BH* ,buffer ,buffer ,,,,
D ,C ,2,A ,BH* ,buffer ,buffer ,,,,
D ,C ,2,B ,CP3 ,5,12,,,,Dead 
D ,C ,3,A ,SQ3 ,6,7,,,,Dead 
D ,C ,3,B ,DPR ,6,14,,,,Dead 
D ,C ,4,A ,YO7 ,6,2,,,,Dead 
D ,C ,4,B ,IH ,2,6,,,,
D ,C ,5,A ,TM2 ,5,3,,,,
D ,C ,5,B ,LV1 ,3,5,,,,
D ,C ,6,A ,CC ,1,6,6.8,3.6,Y,
D ,C ,6,B ,YO4 ,1,3,,,,
D ,C ,7,A ,LVTR1 ,8,7,,,,
D ,C ,7,B ,LV1 ,1,5,,,,
D ,C ,8,A ,IH ,4,6,,,,
D ,C ,8,B ,LVTR1 ,3,1,,,,
D ,C ,9,A ,NA ,NA ,NA ,,,,
D ,C ,9,B ,WL2 ,2,12,,,,
D ,C ,10,A ,WR ,2,10,,,,
D ,C ,10,B ,IH ,1,6,,,,
D ,C ,11,A ,LVTR1 ,8,14,,,,
D ,C ,11,B ,CC ,4,6,,,,
D ,C ,12,A ,CP3 ,1,11,,,,
D ,C ,12,B ,CP3 ,3,12,,,,
D ,C ,13,A ,YO7 ,5,1,,,,
D ,C ,13,B ,SC ,8,6,5.4,3.3,Y ,
D ,C ,14,A ,TM2 ,7,11,,,,
D ,C ,14,B ,SQ2 ,6,16,,,,
D ,C ,15,A ,IH ,6,6,,,,Dead 
D ,C ,15,B ,NA ,NA ,NA ,,,,
D ,C ,16,A ,YO7 ,4,4,,,,
D ,C ,16,B ,CP2 ,2,5,,,,
E ,C ,17,A ,WL1* ,buffer ,buffer ,,,,
E ,C ,17,B ,NA ,NA ,NA ,,,,
E ,C ,18,A ,WL1* ,buffer ,buffer ,,,,
E ,C ,18,B ,WL1* ,buffer ,buffer ,,,,
E ,C ,19,A ,IH ,7,7,11.6,5.4,Y ,
E ,C ,19,B ,LV3 ,5,3,,,,
E ,C ,20,A ,CP3 ,5,13,,,,
E ,C ,20,B ,YO11 ,5,13,,,,
E ,C ,21,A ,YO8 ,3,3,,,,
E ,C ,21,B ,CP2 ,1,5,2.6,N/A ,Y ,no leaves 
E ,C ,22,A ,CP3 ,3,13,,,,
E ,C ,22,B ,BH ,6,7,13.6,6.9,Y ,
E ,C ,23,A ,BH ,3,7,6.1,4.8,Y ,
E ,C ,23,B ,YO8 ,1,3,,,,
E ,C ,24,A ,TM2 ,7,14,,,,
E ,C ,24,B ,WL2 ,1,13,3.4,N/A ,Y,no leaves 
E ,C ,25,A ,CP3 ,1,15,,,,
E ,C ,25,B ,CC ,4,7,9.4,3,Y ,
E ,C ,26,A ,BH ,5,7,4.5,3.6,Y,
E ,C ,26,B ,CP3 ,2,6,,,,
E ,C ,27,A ,LVTR1 ,2,5,,,,
E ,C ,27,B ,BH ,2,7,,,,
E ,C ,28,A ,YO7 ,7,14,2.1,N/A ,Y ,no leaves 
E ,C ,28,B ,IH ,1,7,9.7,3.4,Y ,
E ,C ,29,A ,DPR ,6,21,10.1,2.4,Y ,Powdery mildew 
E ,C ,29,B ,LVTR1 ,7,5,1.3,N/A ,Y ,just stem 
E ,C ,30,A ,WL2 ,2,13,0.8,N/A ,Y ,just stem 
E ,C ,30,B ,LV1 ,6,6,,,,
E ,C ,31,A ,CP3 ,1,12,,,,
E ,C ,31,B ,WL1 ,3,4,,,,
E ,C ,32,A ,LVTR1 ,5,2,,,,
E ,C ,32,B ,SC ,2,7,,,,
E ,C ,33,A ,NA ,NA ,NA ,,,,
E ,C ,33,B ,LV1 ,4,6,2,N/A ,Y ,no leaves 
E ,C ,34,A ,SQ2 ,4,9,,,,
E ,C ,34,B ,YO8 ,6,7,,,,
E ,C ,35,A ,LVTR1 ,6,15,,,,
E ,C ,35,B ,SC ,5,7,4.7,4.7,Y ,
E ,C ,36,A ,SQ1 ,14,7,1.8,N/A ,Y ,no leaves 
E ,C ,36,B ,SC ,2,19,5,3.9,Y ,
E ,C ,37,A ,FR ,5,2,,,,
E ,C ,37,B ,YO4 ,3,9,,,,
E ,C ,38,A ,IH ,3,7,8.2,3.5,Y ,
E ,C ,38,B ,SQ2 ,6,13,3.3,N/A ,Y ,no leaves 
E ,C ,39,A ,CP3 ,4,13,,,,
E ,C ,39,B ,SQ2 ,8,13,,,,
E ,C ,40,A ,CC ,5,7,10.8,3.1,Y,
E ,C ,40,B ,BH ,1,7,4.3,2.6,Y ,
E ,C ,41,A ,CP2 ,7,12,,,,
E ,C ,41,B ,DPR ,1,12,,,,
E ,C ,42,A ,SQ2 ,6,17,,,,
E ,C ,42,B ,SQ3 ,2,3,,,,
E ,C ,43,A ,WL2 ,3,13,3.1,0.5,Y ,resprout 
E ,C ,43,B ,YO11 ,4,12,,,,
E ,C ,44,A ,WL2 ,5,13,,,,
E ,C ,44,B ,DPR ,3,12,,,,
E ,C ,45,A ,BH ,7,7,9.3,5.4,Y ,
E ,C ,45,B ,CC ,9,7,,,,
E ,C ,46,A ,LV1 ,1,6,,,,
E ,C ,46,B ,CP2 ,5,5,4.2,N/A ,Y ,Powdery mildew 
E ,C ,47,A ,YO7 ,6,3,4.7,1.2,Y ,Powdery mildew 
E ,C ,47,B ,IH ,2,7,10.3,4.8,Y,
E ,C ,48,A ,CP2 ,4,5,,,,
E ,C ,48,B ,YO8 ,2,3,,,,
E ,C ,49,A ,YO4 ,5,6,,,,
E ,C ,49,B ,WL1* ,buffer ,buffer ,,,,
F ,C ,50,A ,LVTR1 ,8,9,,,,
F ,C ,50,B ,YO11 ,8,1,6.5,N/A ,Y,"no leaves, powdery mildew "
F ,C ,51,A ,CP2 ,2,6,,,,
F ,C ,51,B ,YO11 ,5,1,,,,
F ,C ,52,A ,CC ,4,8,5,1.8,Y ,
F ,C ,52,B ,YO8 ,5,8,,,,
F ,C ,53,A ,YO4 ,9,3,,,,
F ,C ,53,B ,IH ,3,8,17.7,6.8,Y ,
F ,C ,54,A ,LV1 ,3,7,,,,
F ,C ,54,B ,TM2 ,1,14,26.1,1.1,Y ,
F ,C ,55,A ,YO7 ,1,4,3.6,1.1,Y ,
F ,C ,55,B ,WL2 ,1,1,,,,
F ,C ,56,A ,BH ,2,8,,,,
F ,C ,56,B ,WL1 ,4,9,,,,
F ,C ,57,A ,SC ,2,8,,,,
F ,C ,57,B ,CC ,5,8,,,,
F ,C ,58,A ,YO4 ,3,6,,,,
F ,C ,58,B ,FR ,4,7,,,,
F ,C ,59,A ,YO11* ,At buffe* ,buffer ,,,,
F ,C ,59,B ,CP2* ,A buffe* ,buffer ,,,,
F ,C ,60,A ,NA ,NA ,NA ,,,,
F ,C ,60,B ,NA ,NA ,NA ,,,,
D ,C ,1,C ,TM2* ,bufferbuffer ,,,,,
D ,C ,1,D ,TM2* ,buffer ,buffer ,,,,
D ,C ,2,C ,SC ,5,6,4.5,3.7,Y ,
D ,C ,2,D ,CC ,9,6,12.2,3.1,Y ,
D ,C ,3,C ,SQ2 ,6,22,,,,
D ,C ,3,D ,CP2 ,5,4,0.2,,Y ,bare stem /resprout 
D ,C ,4,C ,YO4 ,5,4,,,,
D ,C ,4,D ,CC ,9,6,,,,
D ,C ,5,C ,SC ,6,6,6.5,4.1,Y ,
D ,C ,5,D ,SC ,5,6,,,,
D ,C ,6,C ,YO11 ,5,12,,,,
D ,C ,6,D ,WL1 ,7,20,1.2,,Y ,bare stem 
D ,C ,7,C ,WV ,4,10,,,,
D ,C ,7,D ,WL1 ,10,4,4.2,,Y ,powdery mildew 
D ,C ,8,C ,DPR ,1,11,,,,
D ,C ,8,D ,YO11 ,4,7,,,,
D ,C ,9,C ,YO11 ,5,15,,,,
D ,C ,9,D ,CP2 ,7,11,,,,
D ,C ,10,C ,CP3 ,7,5,,,,
D ,C ,10,D ,BH ,3,6,9,7,Y ,
D ,C ,11,C ,DPR ,4,11,6.3,1.5,Y ,
D ,C ,11,D ,CC ,3,6,,,,
D ,C ,12,C ,YO8 ,3,2,,,,
D ,C ,12,D ,YO7 ,5,16,,,,
D ,C ,13,C ,LVTR1 ,7,4,0.8,,Y ,bare stem 
D ,C ,13,D ,WL1 ,7,8,1.5,,Y ,bare stem/resprout 
D ,C ,14,C ,DPR ,6,19,,,,
D ,C ,14,D ,YO8 ,6,6,,,,
D ,C ,15,C ,BH ,7,6,,,,
D ,C ,15,D ,LV3 ,7,10,,,,
D ,C ,16,C ,IH ,4,7,,,,
D ,C ,16,D ,WL1* ,buffer ,buffer ,,,,
E ,C ,17,C ,WL1* ,buffer ,buffer ,,,,
E ,C ,17,D ,NA ,NA ,NA ,,,,
E ,C ,18,C ,WL1* ,buffer ,buffer ,,,,
E ,C ,18,D ,WL1* ,buffer ,buffer ,,,,
E ,C ,19,C ,YO8 ,4,8,,,,
E ,C ,19,D ,YO7 ,5,2,4.3,0.4,Y ,
E ,C ,20,C ,CP2 ,5,14,4.6,,Y ,powdery mildew 
E ,C ,20,D ,YO7 ,7,22,,,,
E ,C ,21,C ,WL2 ,6,13,,,,
E ,C ,21,D ,LV1 ,5,6,,,,
E ,C ,22,C ,YO11 ,6,13,,,,
E ,C ,22,D ,FR ,7,7,1.5,0.3,Y ,resprout 
E ,C ,23,C ,CC ,8,7,8.9,4.2,Y ,
E ,C ,23,D ,TM2 ,4,12,9.6,2.9,Y ,
E ,C ,24,C ,DPR ,6,6,,,,
E ,C ,24,D ,YO4 ,2,8,,,,
E ,C ,25,C ,YO11 ,8,13,,,,
E ,C ,25,D ,DPR ,8,3,11.3,1.7,Y ,
E ,C ,26,C ,NA ,NA ,NA ,,,,
E ,C ,26,D ,NA ,NA ,NA ,,,,
E ,C ,27,C ,NA ,NA ,NA ,,,,
E ,C ,27,D ,NA ,NA ,NA ,,,,
E ,C ,28,C ,WL1 ,4,3,,,,
E ,C ,28,D ,LV1 ,8,6,,,,
E ,C ,29,C ,YO11 ,1,13,,,,
E ,C ,29,D ,TM2 ,5,8,,,,
E ,C ,30,C ,BH ,4,7,5.7,4.1,Y ,
E ,C ,30,D ,SQ2 ,6,27,,,,
E ,C ,31,C ,YO7 ,7,3,,,,
E ,C ,31,D ,LV1 ,2,6,,,,
E ,C ,32,C ,LVTR1 ,4,3,,,,
E ,C ,32,D ,TM2 ,7,12,26.1,1.5,Y ,
E ,C ,33,C ,TM2 ,2,5,28.7,1.9,Y ,
E ,C ,33,D ,CC ,3,7,9.6,4.7,Y ,
E ,C ,34,C ,SC ,4,7,3.8,1.7,Y ,
E ,C ,34,D ,SC ,8,7,6.4,3,Y ,
E ,C ,35,C ,WL2 ,8,13,,,,
E ,C ,35,D ,IH ,6,7,,,,
E ,C ,36,C ,CC ,1,7,,,,
E ,C ,36,D ,LVTR1 ,6,5,1.3,,Y ,bare stem 
E ,C ,37,C ,CC ,2,7,12.1,3.8,Y ,
E ,C ,37,D ,IH ,5,7,,,,
E ,C ,38,C ,YO7 ,1,3,2.6,,Y ,bare stem 
E ,C ,38,D ,LV1 ,3,6,,,,
E ,C ,39,C ,CP3 ,6,13,3.2,,Y ,powdery mildew/no leaves 
E ,C ,39,D ,YO8 ,8,7,0.9,,Y ,powdery mildew 
E ,C ,40,C ,DPR ,6,18,5.4,,Y ,bare stem 
E ,C ,40,D ,YO11 ,8,16,2.9,0.3,Y ,resprout 
E ,C ,41,C ,LVTR1 ,8,8,3.1,,Y ,bare stem 
E ,C ,41,D ,SC ,6,7,4.3,2.1,Y ,
E ,C ,42,C ,WL1 ,7,9,,,,
E ,C ,42,D ,WL1 ,10,5,1.5,,Y ,bare stem / powdery 
E ,C ,43,C ,WR ,2,19,1.8,,Y ,bare stem 
E ,C ,43,D ,CP2 ,3,5,2.7,,Y ,bare stem 
E ,C ,44,C ,YO8 ,5,7,0.7,,Y ,bare stem 
E ,C ,44,D ,WL2 ,7,13,3.8,0.5,Y ,respout 
E ,C ,45,C ,NA ,NA ,NA ,,,,
E ,C ,45,D ,SC ,4,15,,,,
E ,C ,46,C ,TM2 ,1,6,,,,
E ,C ,46,D ,SQ3 ,4,10,,,,
E ,C ,47,C ,FR ,4,6,1.3,0.7,Y ,
E ,C ,47,D ,SQ1 ,4,7,1.5,,Y ,bare stem /powdery 
E ,C ,48,C ,DPR ,4,12,,,,
E ,C ,48,D ,SQ1 ,4,2,2,0.7,Y ,top eaten 
E ,C ,49,C ,YO11 ,7,13,,,,
E ,C ,49,D ,WL1* ,buffer ,buffer ,,,,
F ,C ,50,C ,SQ2 ,4,4,,,,
F ,C ,50,D ,YO7 ,7,17,,,,
F ,C ,51,C ,IH ,4,8,,,,
F ,C ,51,D ,LV1 ,4,7,,,,
F ,C ,52,C ,YO8 ,8,8,,,,
F ,C ,52,D ,YO8 ,2,4,,,,
F ,C ,53,C ,TM2 ,5,2,,,,
F ,C ,53,D ,TM2 ,7,13,22.5,1.1,Y ,
F ,C ,54,C ,LVTR1 ,7,12,,,,different plant 
F ,C ,54,D ,CC ,1,8,,,,
F ,C ,55,C ,CP3 ,6,1,,,,
F ,C ,55,D ,CP2 ,7,13,,,,
F ,C ,56,C ,DPR ,7,5,,,,
F ,C ,56,D ,TM2 ,1,7,,,,
F ,C ,57,C ,IH ,7,8,,,,
F ,C ,57,D ,LV1 ,5,7,,,,
F ,C ,58,C ,IH ,2,8,,,,
F ,C ,58,D ,CC ,8,8,,,,
F ,C ,59,C ,CP2* ,4 buffe** ,buffer ,,,,
F ,C ,59,D ,CP2* ,t buffe* ,buffer ,,,,
F ,C ,60,C ,NA ,NA ,NA ,,,,
F ,C ,60,D ,NA ,NA ,NA ,,,,
G ,D ,1,A ,NA ,NA ,NA ,,,,
G ,D ,1,B ,NA ,NA ,NA ,,,,
G ,D ,2,A ,LV1* ,He buffel* ,buffer ,,,,
G ,D ,2,B ,TM2* ,buffer ,buffer ,,,,
G ,D ,3,A ,YO11 ,8,2,,,,
G ,D ,3,B ,IH ,5,9,,,,
G ,D ,4,A ,TM2 ,5,10,,,,
G ,D ,4,B ,YO11 ,7,14,,,,
G ,D ,5,A ,CP3 ,4,2,,,,
G ,D ,5,B ,SQ2 ,1,1,,,,
G ,D ,6,A ,CP2 ,5,7,,,,
G ,D ,6,B ,NA ,NA ,NA ,,,,
G ,D ,7,A ,NA ,NA ,NA ,,,,
G ,D ,7,B ,LVTR1 ,8,10,,,,
G ,D ,8,A ,NA ,NA ,NA ,,,,
G ,D ,8,B ,NA ,NA ,NA ,,,,
G ,D ,9,A ,CP3 ,2,1,,,,
G ,D ,9,B ,NA ,NA ,NA ,,,,
G ,D ,10,A ,CP2 ,1,7,,,,
G ,D ,10,B ,DPR ,1,1,,,,
G ,D ,11,A ,LV1 ,8,8,,,,
G ,D ,11,B ,YO7 ,7,5,,,,
G ,D ,12,A ,LVTR1 ,7,7,,,,
G ,D ,12,B ,YO8 ,6,9,,,,
G ,D ,13,A ,NA ,NA ,NA ,,,,
G ,D ,13,B ,LVTR1 ,6,7,,,,
G ,D ,14,A ,IH ,7,9,,,,
G ,D ,14,B ,SC ,6,9,,,,
G ,D ,15,A ,YO7 ,7,24,,,,
G ,D ,15,B ,YO4 ,2,10,,,,
G ,D ,16,A ,SQ3 ,7,13,,,,
G ,D ,16,B ,YO11 ,3,4,,,,
G ,D ,17,A ,CC ,9,9,,,,
G ,D ,17,B ,LV3 ,5,5,,,,
G ,D ,18,A ,WL1 ,2,1,,,,
G ,D ,18,B ,DPR ,6,8,,,,
G ,D ,19,A ,TM2 ,7,18,,,,
G ,D ,19,B ,CC ,4,9,,,,
G ,D ,20,A ,YO7 ,6,14,,,,
G ,D ,20,B ,LV1 ,3,8,,,,
G ,D ,21,A ,SC ,5,9,,,,
G ,D ,21,B ,BH ,6,9,,,,
G ,D ,22,A ,DPR ,3,1,,,,
G ,D ,22,B ,CC ,1,9,,,,
G ,D ,23,A ,LV3 ,1,2,,,,
G ,D ,23,B ,LVTR1 ,4,8,,,,
G ,D ,24,A ,YO7 ,5,4,,,,
G ,D ,24,B ,IH ,1,9,,,,
G ,D ,25,A ,WL1 ,7,11,,,,
G ,D ,25,B ,SC ,2,9,,,,
G ,D ,26,A ,YO8 ,8,9,,,,
G ,D ,26,B ,LV1 ,2,8,,,,
G ,D ,27,A ,LV1 ,6,8,,,,
G ,D ,27,B ,BH ,7,9,,,,
G ,D ,28,A ,CP2 ,2,7,,,,
G ,D ,28,B ,SC ,4,9,,,,
G ,D ,29,A ,YO4 ,3,10,,,,
G ,D ,29,B ,CC ,5,9,,,,
G ,D ,30,A ,TM2 ,7,1,,,,
G ,D ,30,B ,BH ,1,9,,,,
G ,D ,31,A ,FR ,3,9,,,,
G ,D ,31,B ,TM2 ,1,8,,,,
G ,D ,32,A ,DPR ,5,13,,,,
G ,D ,32,B ,SQ2 ,8,2,,,,
G ,D ,33,A ,WL2 ,5,2,,,,
G ,D ,33,B ,CP2 ,3,7,,,,
G ,D ,34,A ,LV3 ,7,13,,,,
G ,D ,34,B ,CP2 ,7,1,,,,
G ,D ,35,A ,YO11 ,1,2,,,,
G ,D ,35,B ,NA ,NA ,NA ,,,,
F ,D ,36,A ,LV1* ,buffer ,buffer ,,,,
F ,D ,36,B ,LV1* ,buffer ,buffer ,,,,
F ,D ,37,A ,BH ,5,8,6.4,3.8,Y ,
F ,D ,37,B ,YO11 ,7,2,,,,
F ,D ,38,A ,WL2 ,8,1,,,,
F ,D ,38,B ,LVTR1 ,6,6,,,,
F ,D ,39,A ,CC ,9,8,9.3,2.7,Y ,
F ,D ,39,B ,SC ,8,8,,,,
F ,D ,40,A ,CC ,3,8,,,,
F ,D ,40,B ,BH ,7,8,6.5,3.3,Y ,
F ,D ,41,A ,YO11 ,5,18,,,,
F ,D ,41,B ,SQ3 ,1,12,1.9,N/A ,Y ,bare stem 
F ,D ,42,A ,WR ,2,16,,,,
F ,D ,42,B ,YO8 ,1,4,,,,
F ,D ,43,A ,LVTR1 ,7,6,,,,
F ,D ,43,B ,DPR ,8,16,6.8,0.5,Y ,Resprout 
F ,D ,44,A ,CP3 ,3,1,,,,
F ,D ,44,B ,SQ1 ,14,6,,,,
F ,D ,45,A ,SC ,6,8,8.3,3.6,Y ,
F ,D ,45,B ,WL2 ,7,1,,,,
F ,D ,46,A ,LV3 ,5,4,,,,
F ,D ,46,B ,WL1 ,7,10,,,,
F ,D ,47,A ,LVTR1 ,4,2,,,,
F ,D ,47,B ,CP2 ,1,6,,,,
F ,D ,48,A ,LV1 ,8,7,,,,
F ,D ,48,B ,WL2 ,3,1,1.7,N/A,Y ,bare stem
F ,D ,49,A ,SQ3 ,4,8,,,,
F ,D ,49,B ,YO11 ,6,1,3.9,N/A ,Y ,bare stem 
F ,D ,50,A ,YO7 ,7,4,3,0.3,Y ,Resprout 
F ,D ,50,B ,CP3 ,2,7,,,,
F ,D ,51,A ,LVTR1 ,5,12,,,,
F ,D ,51,B ,TM2 ,4,8,,,,
F ,D ,52,A ,WL1 ,2,2,,,,
F ,D ,52,B ,YO7 ,7,16,,,,
F ,D ,53,A ,IH ,6,8,,,,
F ,D ,53,B ,DPR ,1,13,,,,
F ,D ,54,A ,YO8 ,6,8,,,,
F ,D ,54,B ,DPR ,8,4,14.1,2.2,Y ,Powdery mildew 
F ,D ,55,A ,BH ,3,8,10.2,7.1,Y ,
F ,D ,55,B ,YO4 ,2,9,5.2,1.5,Y ,Powdery mildew 
F ,D ,56,A ,FR ,7,8,2.7,N/A ,Y ,bare stem w/ small sprout
F ,D ,56,B ,SQ1 ,2,6,1.7,N/A ,Y ,bare stem 
F ,D ,57,A ,CP2 ,2,15,,,,
F ,D ,57,B ,CP2 ,4,6,,,,
F ,D ,58,A ,SQ2 ,6,1,,,,
F ,D ,58,B ,YO11 ,3,2,,,,
F ,D ,59,A ,buffer ,buffer ,buffer ,,,,
F ,D ,59,B ,LVTR1* ,it buffe* ,buffer ,,,,
F ,D ,60,A ,NA ,NA ,NA ,,,,
F ,D ,60,B ,NA ,NA ,NA ,,,,
G ,D ,1,C ,NA ,NA ,NA ,,,,
G ,D ,1,D ,NA ,NA ,NA ,,,,
G ,D ,2,C ,TM2* ,buffer ,buffer ,,,,
G ,D ,2,D ,buffer ,,,,,,
G ,D ,3,C ,WR ,1,1,,,,
G ,D ,3,D ,SQ3 ,6,2,,,,SQ3 6-2 
G ,D ,4,C ,YO8 ,1,5,,,,
G ,D ,4,D ,IH ,4,9,,,,
G ,D ,5,C ,WL2 ,2,2,,,,
G ,D ,5,D ,CP2 ,4,7,,,,
G ,D ,6,C ,CP3 ,4,15,,,,
G ,D ,6,D ,YO4 ,9,2,,,,
G ,D ,7,C ,NA ,NA ,NA ,,,,
G ,D ,7,D ,NA ,NA ,NA ,,,,
G ,D ,8,C ,LV1 ,1,8,,,,
G ,D ,8,D ,NA ,NA ,NA ,,,,
G ,D ,9,C ,WL2 ,3,2,,,,
G ,D ,9,D ,FR ,7,9,,,,
