block ,bed ,bed-row ,bed-col ,pop ,mf ,rep ,height.cm ,long.leaf.cm ,herbiv.y.n ,survey-notes 
G ,D ,10,C ,LVTR1 ,2,7,,,,
G ,D ,10,D ,SQ1 ,2,13,,,,
G ,D ,11,C ,CP3 ,5,2,,,,
G ,D ,11,D ,SQ2 ,6,23,,,,
G ,D ,12,C ,YO11 ,5,2,,,,
G ,D ,12,D ,BH ,5,9,,,,
G ,D ,13,C ,SQ1 ,6,9,,,,
G ,D ,13,D ,YO8 ,5,9,,,,
G ,D ,14,C ,IH ,3,9,,,,
G ,D ,14,D ,YO8 ,8,14,,,,
G ,D ,15,C ,YO7 ,4,5,,,,
G ,D ,15,D ,LVTR1 ,7,18,,,,
G ,D ,16,C ,TM2 ,6,13,,,,
G ,D ,16,D ,DPR ,3,15,,,,
G ,D ,17,C ,YO8 ,3,5,,,,
G ,D ,17,D ,SC ,8,9,,,,
G ,D ,18,C ,LV1 ,5,8,,,,
G ,D ,18,D ,FR ,6,12,,,,
G ,D ,19,C ,CP3 ,6,2,,,,
G ,D ,19,D ,TM2 ,2,9,,,,
G ,D ,20,C ,TM2 ,4,4,,,,
G ,D ,20,D ,BH ,2,9,,,,
G ,D ,21,C ,IH ,2,9,,,,
G ,D ,21,D ,WL2 ,6,2,,,,
G ,D ,22,C ,CP2 ,2,14,,,,
G ,D ,22,D ,WL2 ,7,2,,,,
G ,D ,23,C ,WL1 ,7,15,,,,
G ,D ,23,D ,CC ,8,9,,,,
G ,D ,24,C ,CC ,3,9,,,,
G ,D ,24,D ,SQ2 ,13,3,,,,
G ,D ,25,C ,SC ,4,17,,,,
G ,D ,25,D ,WL2 ,8,2,,,,
G ,D ,26,C ,CP3 ,3,2,,,,
G ,D ,26,D ,YO7 ,6,5,,,,
G ,D ,27,C ,CC ,2,9,,,,
G ,D ,27,D ,YO11 ,6,2,,,,
G ,D ,28,C ,SC ,8,15,,,,
G ,D ,28,D ,SQ2 ,6,2,,,,
G ,D ,29,C ,WL2 ,1,2,,,,
G ,D ,29,D ,YO7 ,1,5,,,,
G ,D ,30,C ,DPR ,8,5,,,,
G ,D ,30,D ,FR ,4,8,,,,
G ,D ,31,C ,YO8 ,2,5,,,,
G ,D ,31,D ,IH ,6,9,,,,
G ,D ,32,C ,LVTR1 ,4,4,,,,
G ,D ,32,D ,LV1 ,4,8,,,,
G ,D ,33,C ,SQ1 ,14,9,,,,
G ,D ,33,D ,WL1 ,10,1,,,,
G ,D ,34,C ,CP3 ,1,1,,,,
G ,D ,34,D ,DPR ,4,1,,,,
G ,D ,35,C ,BH ,3,9,,,,
G ,D ,35,D ,BH ,4,9,,,,
F ,D ,36,C ,WL1* ,buffer ,buffer ,,,,
F ,D ,36,D ,WL1 ,7,14,,,,
F ,D ,37,C ,SC ,2,18,7.3,5.7,Y ,
F ,D ,37,D ,WL1* ,buffer ,buffer ,,,,
F ,D ,38,C ,NA ,NA ,NA ,,,,
F ,D ,38,D ,DPR ,6,7,,,,
F ,D ,39,C ,SC ,5,14,,,,
F ,D ,39,D ,CP3 ,5,14,,,,
F ,D ,40,C ,IH ,5,8,11.6,2.7,Y ,
F ,D ,40,D ,WL2 ,2,1,,,,
F ,D ,41,C ,LVTR1 ,8,20,,,,
F ,D ,41,D ,CP3 ,5,1,,,,
F ,D ,42,C ,WL2 ,6,1,3.2,0.3,Y ,resprout 
F ,D ,42,D ,YO7 ,3,9,3.8,0.8,Y ,
F ,D ,43,C ,SQ2 ,13,6,0.5,,Y ,bare stem respount 
F ,D ,43,D ,CC ,2,8,,,,
F ,D ,44,C ,TM2 ,7,19,,,,
F ,D ,44,D ,LV1 ,1,7,,,,
F ,D ,45,C ,FR ,2,11,,,,
F ,D ,45,D ,BH ,6,8,,,,
F ,D ,46,C ,YO8 ,3,4,,,,
F ,D ,46,D ,SC ,5,8,,,,
F ,D ,47,C ,YO8 ,4,12,,,,
F ,D ,47,D ,BH ,1,8,,,,
F ,D ,48,C ,SQ2 ,6,25,2.5,,Y ,powdery mildew/no leaves
F ,D ,48,D ,YO11 ,7,1,3.5,,Y ,bare stem 
F ,D ,49,C ,SQ2 ,8,1,,,,
F ,D ,49,D ,YO11 ,1,1,,,,
F ,D ,50,C ,YO7 ,5,3,,,,
F ,D ,50,D ,DPR ,4,13,,,,
F ,D ,51,C ,IH ,1,8,13.4,5.3,Y ,
F ,D ,51,D ,LV3 ,7,8,,,,
F ,D ,52,C ,CP3 ,1,13,,,,
F ,D ,52,D ,LVTR1 ,8,23,,,,
F ,D ,53,C ,BH ,4,8,,,,
F ,D ,53,D ,DPR ,3,13,,,,
F ,D ,54,C ,NA ,NA ,NA ,,,,
F ,D ,54,D ,CP2 ,5,6,0.5,,Y ,bare Stem 
F ,D ,55,C ,SC ,4,8,6.5,3.6,Y ,
F ,D ,55,D ,CP2 ,3,6,2.2,,Y ,bave stem 
F ,D ,56,C ,YO7 ,6,4,4.2,2,Y ,
F ,D ,56,D ,CP3 ,4,1,,,,
F ,D ,57,C ,FR ,5,9,,,,
F ,D ,57,D ,LV1 ,2,7,,,,
F ,D ,58,C ,TM2 ,2,10,,,,
F ,D ,58,D ,WL2 ,5,1,6,,Y ,heavy herbiv/powdery 
F ,D ,59,C ,BH* ,buffer ,buffer ,,,,
F ,D ,59,D ,LV1 ,3,15,2.2,,Y ,bare stem 
F ,D ,60,C ,NA ,NA ,NA ,,,,
F ,D ,60,D ,LVTR1* ,it buffe* ,buffer ,,,,
H ,E ,1,A ,NA ,NA ,NA ,,,,
H ,E ,1,B ,NA ,NA ,NA ,,,,
H ,E ,2,A ,NA ,NA ,NA ,,,,
H ,E ,2,B ,NA ,NA ,NA ,,,,
H ,E ,3,A ,NA ,,,,,,
H ,E ,3,B ,SQ3 ,4,2,,,,
H ,E ,4,A ,NA ,NA ,NA ,,,,
H ,E ,4,B ,LV1 ,2,9,,,,
H ,E ,5,A ,CP3 ,4,3,,,,
H ,E ,5,B ,YO11 ,8,3,,,,
H ,E ,6,A ,NA ,NA ,NA ,,,,
H ,E ,6,B ,YO11 ,6,3,,,,
H ,E ,7,A ,YO4 ,1,2,,,,
H ,E ,7,B ,SQ2 ,1,2,,,,
H ,E ,8,A ,LVTR1 ,7,8,,,,
H ,E ,8,B ,TM2 ,6,2,,,,
H ,E ,9,A ,DPR ,8,6,,,,
H ,E ,9,B ,NA ,NA ,NA ,,,,
H ,E ,10,A ,WL1 ,3,5,,,,
H ,E ,10,B ,CP3 ,1,2,,,,
H ,E ,11,A ,FR ,7,10,,,,
H ,E ,11,B ,DPR ,4,2,,,,
H ,E ,12,A ,LV1 ,6,9,,,,
H ,E ,12,B ,LVTR1 ,5,1,,,,
H ,E ,13,A ,BH ,7,10,,,,
H ,E ,13,B ,NA ,NA ,NA ,,,,
H ,E ,14,A ,YO11 ,5,3,,,,
H ,E ,14,B ,SQ1 ,14,8,,,,
H ,E ,15,A ,SC ,6,10,,,,
H ,E ,15,B ,YO7 ,7,6,,,,
H ,E ,16,A ,TM2 ,3,2,,,,
H ,E ,16,B ,YO8 ,5,10,,,,
H ,E ,17,A ,YO11 ,5,16,,,,
H ,E ,17,B ,WL2 ,7,3,,,,
H ,E ,18,A ,LVTR1 ,8,11,,,,
H ,E ,18,B ,BH ,6,10,,,,
H ,E ,19,A ,LV1 ,5,9,,,,
H ,E ,19,B ,CP3 ,6,3,,,,
H ,E ,20,A ,WR ,2,20,,,,
H ,E ,20,B ,SQ1 ,14,5,,,,
H ,E ,21,A ,CC ,5,10,,,,
H ,E ,21,B ,CP2 ,1,8,,,,
H ,E ,22,A ,IH ,2,10,,,,
H ,E ,22,B ,LV1 ,4,9,,,,
H ,E ,23,A ,SQ2 ,8,3,,,,
H ,E ,23,B ,WR ,3,2,,,,
H ,E ,24,A ,CP3 ,7,12,,,,
H ,E ,24,B ,WL2 ,8,3,,,,
H ,E ,25,A ,YO7 ,6,6,,,,
H ,E ,25,B ,TM2 ,1,15,,,,
H ,E ,26,A ,SQ2 ,11,2,,,,
H ,E ,26,B ,IH ,7,10,,,,
H ,E ,27,A ,FR ,4,9,,,,
H ,E ,27,B ,YO11 ,1,3,,,,
H ,E ,28,A ,WL2 ,2,3,,,,
H ,E ,28,B ,CC ,9,10,,,,
H ,E ,29,A ,TM2 ,1,9,,,,
H ,E ,29,B ,YO8 ,3,6,,,,
H ,E ,30,A ,NA ,NA ,NA ,,,,
H ,E ,30,B ,NA ,NA ,NA ,,,,tree; skip 10 rows 
H ,E ,41,A ,FR ,3,8,,,,
H ,E ,41,B ,WL1 ,7,12,,,,
H ,E ,42,A ,CP2 ,7,2,,,,
H ,E ,42,B ,CP3 ,3,3,,,,
H ,E ,43,A ,YO7 ,5,14,,,,
H ,E ,43,B ,DPR ,6,17,,,,
H ,E ,44,A ,YO4 ,9,1,,,,
H ,E ,44,B ,SC ,4,10,,,,
H ,E ,45,A ,WL2 ,5,3,,,,
H ,E ,45,B ,SQ1 ,2,12,,,,
I ,E ,46,A ,YO7 ,7,7,,,,
I ,E ,46,B ,IH ,3,11,,,,
I ,E ,47,A ,BH ,4,11,,,,
I ,E ,47,B ,BH ,6,11,,,,
I ,E ,48,A ,SC ,5,11,,,,
I ,E ,48,B ,CC ,2,11,,,,
I ,E ,49,A ,YO7 ,4,3,,,,
I ,E ,49,B ,TM2 ,6,4,,,,
I ,E ,50,A ,FR ,6,10,,,,
I ,E ,50,B ,IH ,6,11,,,,
I ,E ,51,A ,LV1 ,8,10,,,,
I ,E ,51,B ,IH ,1,11,,,,
I ,E ,52,A ,WL2* ,de buffe* ,buffer ,,,,
I ,E ,52,B ,WL2* ,it buffe* ,buffer ,,,,
I ,E ,53,A ,NA ,NA ,NA ,,,,
I ,E ,53,B ,NA ,NA ,NA ,,,,
H ,E ,1,C ,NA ,NA ,NA ,,,,
H ,E ,1,D ,NA ,NA ,NA ,,,,
H ,E ,2,C ,NA ,NA ,NA ,,,,
H ,E ,2,D ,TM2 ,7,2,,,,
H ,E ,3,C ,NA ,NA ,NA ,,,,
H ,E ,3,D ,NA ,NA ,NA ,,,,
H ,E ,4,C ,YO11 ,3,12,,,,
H ,E ,4,D ,LVTR1 ,7,14,,,,
H ,E ,5,C ,BH ,5,10,,,,
H ,E ,5,D ,IH ,3,10,,,,
H ,E ,6,C ,SC ,8,10,,,,
H ,E ,6,D ,SQ2 ,6,20,,,,
H ,E ,7,C ,TM2 ,2,7,,,,
H ,E ,7,D ,YO8 ,1,6,,,,
H ,E ,8,C ,WL1 ,4,12,,,,
H ,E ,8,D ,CC ,4,10,,,,
H ,E ,9,C ,LVTR1 ,6,8,,,,
H ,E ,9,D ,CP2 ,3,8,,,,
H ,E ,10,C ,CC ,2,10,,,,
H ,E ,10,D ,LV3 ,7,6,,,,
H ,E ,11,C ,CP2 ,5,8,,,,
H ,E ,11,D ,LV1 ,3,9,,,,
H ,E ,12,C ,SC ,2,10,,,,
H ,E ,12,D ,YO8 ,4,4,,,,
H ,E ,13,C ,SQ2 ,6,3,,,,
H ,E ,13,D ,SC ,2,20,,,,
H ,E ,14,C ,DPR ,6,9,,,,
H ,E ,14,D ,CP3 ,2,2,,,,
H ,E ,15,C ,WL2 ,3,3,,,,
H ,E ,15,D ,NA ,NA ,NA ,,,,
H ,E ,16,C ,YO11 ,7,3,,,,
H ,E ,16,D ,NA ,NA ,NA ,,,,
H ,E ,17,C ,LVTR1 ,3,4,,,,
H ,E ,17,D ,DPR ,1,2,,,,
H ,E ,18,C ,CP2 ,4,8,,,,
H ,E ,18,D ,YO7 ,2,13,,,,
H ,E ,19,C ,CC ,1,10,,,,
H ,E ,19,D ,SC ,5,10,,,,
H ,E ,20,C ,CP2 ,6,1,,,,
H ,E ,20,D ,BH ,2,10,,,,
H ,E ,21,C ,YO7 ,5,5,,,,
H ,E ,21,D ,BH ,3,10,,,,
H ,E ,22,C ,CC ,8,10,,,,
H ,E ,22,D ,YO8 ,6,10,,,,
H ,E ,23,C ,BH ,1,10,,,,
H ,E ,23,D ,IH ,5,10,,,,
H ,E ,24,C ,WL2 ,6,3,,,,
H ,E ,24,D ,YO8 ,8,10,,,,
H ,E ,25,C ,CP3 ,5,3,,,,
H ,E ,25,D ,SC ,6,14,,,,
H ,E ,26,C ,CP2 ,2,8,,,,
H ,E ,26,D ,IH ,6,10,,,,
H ,E ,27,C ,BH ,4,10,,,,
H ,E ,27,D ,LV1 ,8,9,,,,
H ,E ,28,C ,SQ3 ,1,5,,,,
H ,E ,28,D ,YO7 ,4,10,,,,
H ,E ,29,C ,YO7 ,7,25,,,,
H ,E ,29,D ,IH ,4,10,,,,
H ,E ,30,C ,NA ,NA ,NA ,,,,
H ,E ,30,D ,NA ,NA ,NA ,,,,
H ,E ,41,C ,WL2 ,1,3,,,,
H ,E ,41,D ,LV3 ,5,6,,,,
H ,E ,42,C ,YO8 ,2,6,,,,
H ,E ,42,D ,CC ,3,10,,,,
H ,E ,43,C ,YO4 ,2,11,,,,
H ,E ,43,D ,IH ,1,10,,,,
H ,E ,44,C ,LVTR1 ,2,8,,,,
H ,E ,44,D ,LV1 ,1,9,,,,
H ,E ,45,C ,DPR ,3,2,,,,
H ,E ,45,D ,DPR ,3,14,,,,
I ,E ,46,C ,YO8 ,2,7,,,,
I ,E ,46,D ,SQ3 ,2,6,,,,
I ,E ,47,C ,YO11 ,4,6,,,,
I ,E ,47,D ,SC ,4,11,,,,
I ,E ,48,C ,SQ1 ,2,10,,,,
I ,E ,48,D ,TM2 ,1,10,,,,
I ,E ,49,C ,DPR ,8,15,,,,
I ,E ,49,D ,CC ,4,11,,,,
I ,E ,50,C ,CP2 ,7,3,,,,
I ,E ,50,D ,IH ,5,11,,,,
I ,E ,51,C ,LVTR1 ,6,9,,,,
I ,E ,51,D ,BH ,1,11,,,,
I ,E ,52,C ,YO8* ,Ic buffe* ,buffer ,,,,
I ,E ,52,D ,SC* ,it buffe** ,buffer ,,,,
I ,E ,53,C ,NA ,NA ,NA ,,,,
I ,E ,53,D ,NA ,NA ,NA ,,,,
J ,F ,1,A ,NA ,NA ,NA ,,,,
J ,F ,1,B ,WL1* ,buffer ,buffer ,,,,
J ,F ,2,A ,LV1 ,8,11,,,,
J ,F ,2,B ,TM2 ,1,11,,,,
J ,F ,3,A ,SC ,7,6,,,,
J ,F ,3,B ,CC ,1,12,,,,
J ,F ,4,A ,CC ,2,12,,,,
J ,F ,4,B ,NA ,NA ,NA ,,,,
J ,F ,5,A ,FR ,4,11,,,,
J ,F ,5,B ,DPR ,4,4,,,,
J ,F ,6,A ,YO8 ,1,8,,,,
J ,F ,6,B ,WL2 ,8,5,,,,
J ,F ,7,A ,CP2 ,6,7,,,,
J ,F ,7,B ,IH ,1,12,,,,
J ,F ,8,A ,DPR ,1,4,,,,
J ,F ,8,B ,YO7 ,1,11,,,,
J ,F ,9,A ,WL1 ,9,10,,,,
J ,F ,9,B ,CP3 ,2,3,,,,
I ,F ,10,A ,YO11 ,6,5,,,,
I ,F ,10,B ,FR ,6,8,,,,
I ,F ,11,A ,WL1 ,7,13,,,,
I ,F ,11,B ,LV1 ,1,10,,,,
I ,F ,12,A ,WL2 ,2,4,,,,
I ,F ,12,B ,BH ,5,11,,,,
I ,F ,13,A ,TM2 ,5,13,,,,
I ,F ,13,B ,CP2 ,1,9,,,,
I ,F ,14,A ,FR ,4,10,,,,
I ,F ,14,B ,CP2 ,4,9,,,,
I ,F ,15,A ,DPR ,5,4,,,,
I ,F ,15,B ,YO4 ,4,3,,,,
I ,F ,16,A ,SQ1 ,5,9,,,,
I ,F ,16,B ,FR ,3,10,,,,
I ,F ,17,A ,CP3 ,3,4,,,,
I ,F ,17,B ,LVTR1 ,7,10,,,,
I ,F ,18,A ,DPR ,3,3,,,,
I ,F ,18,B ,YO7 ,5,6,,,,
I ,F ,19,A ,SC ,6,11,,,,
I ,F ,19,B ,SQ2 ,8,4,,,,no tag 
I ,F ,20,A ,DPR ,1,3,,,,
I ,F ,20,B ,WL1 ,9,4,,,,
I ,F ,21,A ,SC ,2,14,,,,
I ,F ,21,B ,YO8 ,8,11,,,,
I ,F ,22,A ,YO11 ,5,4,,,,
I ,F ,22,B ,CP2 ,2,9,,,,
I ,F ,23,A ,DPR ,4,3,,,,
I ,F ,23,B ,BH ,3,11,,,,
I ,F ,24,A ,TM2 ,2,4,,,,
I ,F ,24,B ,LVTR1 ,5,7,,,,
I ,F ,25,A ,YO11 ,7,4,,,,
I ,F ,25,B ,YO8 ,6,11,,,,
I ,F ,26,A ,WL2 ,8,4,,,,
I ,F ,26,B ,IH ,7,11,,,,
I ,F ,27,A ,LVTR1 ,4,6,,,,
I ,F ,27,B ,LV1 ,6,10,,,,
I ,F ,38,A ,NA ,NA ,NA ,,,,
I ,F ,38,B ,LV1* ,it buffe* ,buffer ,,,,
I ,F ,39,A ,SQ2 ,2,6,,,,
I ,F ,39,B ,YO11 ,6,4,,,,
I ,F ,40,A ,LVTR1 ,8,16,,,,
I ,F ,40,B ,NA ,NA ,NA ,,,,
I ,F ,41,A ,CP3 ,6,4,,,,
I ,F ,41,B ,CC ,1,11,,,,
I ,F ,42,A ,WL2 ,5,4,,,,
I ,F ,42,B ,CC ,3,11,,,,
I ,F ,43,A ,CC ,5,11,,,,
I ,F ,43,B ,CC ,8,11,,,,
I ,F ,44,A ,CP2 ,5,9,,,,
I ,F ,44,B ,TM2 ,7,21,,,,
I ,F ,45,A ,WL1 ,2,12,,,,
I ,F ,45,B ,YO7 ,6,7,,,,
I ,F ,46,A ,BH* ,buffer ,buffer ,,,,
I ,F ,46,B ,YO8* ,it buffe* ,buffer ,,,,
I ,F ,47,A ,NA ,NA ,NA ,,,,
I ,F ,47,B ,NA ,NA ,NA ,,,,
J ,F ,1,C ,YO11* ,it buffe* ,buffer ,,,,
J ,F ,1,D ,SC* ,k buffe* ,buffer ,,,,
J ,F ,2,C ,IH ,7,12,,,,
J ,F ,2,D ,YO11 ,8,14,,,,
J ,F ,3,C ,WL1 ,7,18,,,,
J ,F ,3,D ,WR ,2,11,,,,
J ,F ,4,C ,TM2 ,7,4,,,,
J ,F ,4,D ,YO11 ,4,1,,,,
J ,F ,5,C ,NA ,NA ,NA ,,,,
J ,F ,5,D ,WL1 ,7,1,,,,
J ,F ,6,C ,DPR ,8,18,,,,
J ,F ,6,D ,LV1 ,1,11,,,,
J ,F ,7,C ,CP3 ,3,5,,,,
J ,F ,7,D ,CP2 ,7,4,,,,
J ,F ,8,C ,SC ,6,12,,,,
J ,F ,8,D ,TM2 ,7,15,,,,
J ,F ,9,C ,LVTR1 ,6,14,,,,
J ,F ,9,D ,YO8 ,8,12,,,,
I ,F ,10,C ,NA ,NA ,NA ,,,,
I ,F ,10,D ,WR ,2,18,,,,
I ,F ,11,C ,SQ2 ,6,4,,,,
I ,F ,11,D ,YO11 ,5,17,,,,
I ,F ,12,C ,CP2 ,6,12,,,,
I ,F ,12,D ,YO11 ,1,4,,,,
I ,F ,13,C ,CP3 ,1,14,,,,
I ,F ,13,D ,SC ,8,11,,,,
I ,F ,14,C ,SQ3 ,3,13,,,,
I ,F ,14,D ,CP3 ,7,2,,,,
I ,F ,15,C ,WL2 ,1,4,,,,
I ,F ,15,D ,CP3 ,5,4,,,,
I ,F ,16,C ,YO8 ,3,7,,,,
I ,F ,16,D ,NA ,NA ,NA ,,,,
I ,F ,17,C ,TM2 ,7,3,,,,
I ,F ,17,D ,NA ,NA ,NA ,,,,
I ,F ,18,C ,BH ,7,11,,,,not dead 
I ,F ,18,D ,LV1 ,3,10,,,,
I ,F ,19,C ,YO8 ,5,11,,,,
I ,F ,19,D ,WL2 ,7,4,,,,
I ,F ,20,C ,DPR ,6,10,,,,
I ,F ,20,D ,LVTR1 ,2,9,,,,
I ,F ,21,C ,IH ,2,11,,,,
I ,F ,21,D ,FR ,7,11,,,,
I ,F ,22,C ,YO11 ,8,4,,,,
I ,F ,22,D ,DPR ,8,7,,,,
I ,F ,23,C ,SC ,2,23,,,,
I ,F ,23,D ,LV1 ,2,10,,,,
I ,F ,24,C ,YO8 ,1,7,,,,
I ,F ,24,D ,WL2 ,3,4,,,,
I ,F ,25,C ,CP2 ,3,9,,,,7/26: no leaves remaining 
I ,F ,25,D ,YO7 ,4,13,,,,
I ,F ,26,C ,TM2 ,4,5,,,,
I ,F ,26,D ,SC ,2,11,,,,
I ,F ,27,C ,YO4 ,3,13,,,,
I ,F ,27,D ,YO4 ,2,12,,,,
I ,F ,38,C ,NA ,NA ,NA ,,,,
I ,F ,38,D ,DPR* ,it buffe* ,buffer ,,,,
I ,F ,39,C ,SQ2 ,4,12,,,,
I ,F ,39,D ,LV1 ,4,10,,,,
I ,F ,40,C ,LV3 ,7,2,,,,
I ,F ,40,D ,YO7 ,2,12,,,,
I ,F ,41,C ,WL2 ,6,4,,,,
I ,F ,41,D ,YO7 ,6,18,,,,
I ,F ,42,C ,CP3 ,4,4,,,,
I ,F ,42,D ,CP3 ,1,3,,,,
I ,F ,43,C ,CC ,9,11,,,,
I ,F ,43,D ,YO8 ,4,11,,,,
I ,F ,44,C ,IH ,4,11,,,,
I ,F ,44,D ,LV1 ,5,10,,,,
I ,F ,45,C ,BH ,2,11,,,,
I ,F ,45,D ,LVTR1 ,8,12,,,,
I ,F ,46,C ,LV3 ,5,7,,,,
I ,F ,46,D ,NA ,NA ,NA ,,,,
I ,F ,47,C ,YO8* ,de buffe* ,buffer ,,,,
I ,F ,47,D ,YO8* ,de buffe* ,buffer ,,,,
J ,G ,1,A ,NA ,NA ,NA ,,,,
J ,G ,1,B ,NA ,NA ,NA ,,,,
J ,G ,2,A ,TM2* ,buffer ,buffer ,,,,
J ,G ,2,B ,TM2* ,buffer ,buffer ,,,,
J ,G ,3,A ,YO7 ,6,8,,,,
J ,G ,3,B ,TM2 ,3,1,,,,
J ,G ,4,A ,YO11 ,5,5,,,,
J ,G ,4,B ,YO11 ,7,5,,,,
J ,G ,5,A ,IH ,3,12,,,,
J ,G ,5,B ,IH ,4,12,,,,
J ,G ,6,A ,WL2 ,1,5,,,,
J ,G ,6,B ,YO4 ,2,13,,,,
J ,G ,7,A ,LVTR1 ,2,10,,,,
J ,G ,7,B ,YO4 ,5,2,,,,
J ,G ,8,A ,YO7 ,6,15,,,,
J ,G ,8,B ,SC ,2,24,,,,
J ,G ,9,A ,BH ,1,12,,,,
J ,G ,9,B ,YO8 ,3,8,,,,
J ,G ,10,A ,SC ,8,12,,,,
J ,G ,10,B ,CP2 ,4,10,,,,
J ,G ,11,A ,IH ,5,12,,,,
J ,G ,11,B ,LV3 ,3,4,,,,
J ,G ,12,A ,CC ,3,12,,,,
J ,G ,12,B ,LV1 ,5,11,,,,
J ,G ,13,A ,YO7 ,4,7,,,,
J ,G ,13,B ,CP3 ,7,4,,,,
J ,G ,14,A ,DPR ,3,4,,,,
J ,G ,14,B ,YO11 ,1,5,,,,
J ,G ,15,A ,BH ,3,12,,,,
J ,G ,15,B ,YO8 ,5,12,,,,
J ,G ,16,A ,CP2 ,5,10,,,,
J ,G ,16,B ,LVTR1 ,5,10,,,,
J ,G ,17,A ,CC ,9,12,,,,
J ,G ,17,B ,WL2 ,3,5,,,,
J ,G ,18,A ,LV1 ,4,11,,,,
J ,G ,18,B ,BH ,7,12,,,,
J ,G ,19,A ,YO7 ,5,18,,,,
J ,G ,19,B ,LVTR1 ,7,11,,,,
J ,G ,20,A ,SQ2 ,4,11,,,,
J ,G ,20,B ,YO8 ,6,12,,,,
J ,G ,21,A ,SQ2 ,8,5,,,,
J ,G ,21,B ,LVTR1 ,4,7,,,,
J ,G ,22,A ,FR ,7,12,,,,
J ,G ,22,B ,YO7 ,7,8,,,,
J ,G ,23,A ,FR ,3,2,,,,
J ,G ,23,B ,LV3 ,5,8,,,,
J ,G ,24,A ,CP2 ,3,10,,,,
J ,G ,24,B ,SC ,5,12,,,,
J ,G ,25,A ,DPR ,8,8,,,,
J ,G ,25,B ,BH ,2,12,,,,
J ,G ,26,A ,CP3* ,ic buffe* ,buffer ,,,,
J ,G ,26,B ,YO8* ,t buffe* ,buffer ,,,,
K ,G ,27,A ,DPR ,4,5,,,,
K ,G ,27,B ,FR ,7,13,,,,
K ,G ,28,A ,SQ3 ,2,1,,,,
K ,G ,28,B ,TM2 ,2,3,,,,
K ,G ,29,A ,YO4 ,1,12,,,,
K ,G ,29,B ,SQ3 ,6,4,,,,
K ,G ,30,A ,CC ,8,13,,,,
